,1-2年以内其它应收款(元),1-2年以内应收帐款(元),1-2年以内预付货款(元),1年以内其它应收款(元),1年以内应收帐款(元),1年以内预付货款(元),2-3年以内其它应收款(元),2-3年以内应收帐款(元),2-3年以内预付货款(元),3年以内其它应收款(元),3年以内应收帐款(元),3年以内预付货款(元),date,id,name,三项费用比重,主营业务利润(元),主营业务利润率(%),主营业务成本率(%),主营业务收入增长率(%),主营利润比重,产权比率(%),净利润增长率(%),净资产增长率(%),净资产报酬率(%),净资产收益率(%),利息支付倍数,加权净资产收益率(%),加权每股收益(元),固定资产净值率(%),固定资产周转率(次),固定资产比重(%),存货周转天数(天),存货周转率(次),应收账款周转天数(天),应收账款周转率(次),总资产(元),总资产净利润率(%),总资产利润率(%),总资产周转天数(天),总资产周转率(次),总资产增长率(%),成本费用利润率(%),扣除非经常性损益后的净利润(元),扣除非经常性损益后的每股收益(元),投资收益率(%),摊薄每股收益(元),每股净资产_调整前(元),每股净资产_调整后(元),每股收益_调整后(元),每股未分配利润(元),每股经营性现金流(元),每股资本公积金(元),流动比率,流动资产周转天数(天),流动资产周转率(次),清算价值比率(%),现金比率(%),现金流量比率(%),短期债券投资(元),短期其它经营性投资(元),短期股票投资(元),经营现金净流量与净利润的比率(%),经营现金净流量对负债比率(%),经营现金净流量对销售收入比率(%),股东权益与固定资产比率(%),股东权益周转率(次),股东权益比率(%),股息发放率(%),股本报酬率(%),营业利润率(%),调整后的每股净资产(元),负债与所有者权益比率(%),资产报酬率(%),资产的经营现金流量回报率(%),资产负债率(%),资本化比率(%),资本固定化比率(%),速动比率,销售净利率(%),销售毛利率(%),长期债券投资(元),长期债务与营运资金比率(%),长期其它经营性投资(元),长期股票投资(元),长期负债比率(%),长期资产与长期资金比率(%),非主营比重
10,78249000000,--,--,--,--,--,157948000000,--,--,--,--,--,2002-12-31,600000,浦发银行,31.7482,4350838671.2,53.3423,40.8989,13.5166,233.0699,2338.2647,21.0411,12.6482,33.2684,16.15,--,16.67,--,74.1179,2.3497,1.3975,--,--,--,--,279300719332.42,0.5675,0.4602,10000,0.036,60.8035,29.1901,1280261000,0.353,27.6441,0.3555,2.2021,2.202,0.356,0.0104,5.3251,0.7427,1.1661,7610.9937,0.0473,--,2.6991,10.3419,--,--,--,14.9771,0.0709,2.3601,203.9467,1.0856,2.8501,0.3169,73.2592,22.7944,2.199,3408.593,0.9482,0.0689,97.1499,--,781.9763,1.1661,15.7582,59.1011,27021336654.3,--,--,451311261.42,--,--,69.9723
11,--,--,--,--,--,--,--,--,--,--,--,--,2002-3-31,600000,浦发银行,24.2674,354234000,19.4377,75.6431,--,100.1442,1534.6535,--,--,15.2382,3.62,--,--,--,77.9494,0.6025,1.6992,--,--,--,--,177166548000,0.1515,0.15,8653.8462,0.0104,--,18.5155,--,--,5.7357,0.1103,3.0425,3.0425,--,0.1225,--,1.6141,1.1439,6338.0282,0.0142,--,4.2917,--,--,--,--,--,--,--,243.5723,0.2531,4.1387,1.8157,46.3622,19.4377,--,2316.2104,0.6307,--,95.8613,--,660.7349,1.1439,14.5821,52.2323,23078369000,--,--,522081000,--,--,76.044
12,--,--,--,--,--,--,--,--,--,--,--,--,2002-6-30,600000,浦发银行,28.781,1818014150.56,51.2189,43.0133,9.7372,242.7901,1814.0565,1.2208,-4.0766,19.263,7.12,--,7.38,--,76.9248,1.16,1.4737,--,--,--,--,209036749067.89,0.2829,0.259,9729.7297,0.0185,38.767,27.1988,--,0.224,12.5873,0.2247,3.1569,3.157,0.225,0.2369,-2.1829,1.6141,1.1277,7200,0.025,--,3.235,-3.8118,--,--,--,-9.7165,-0.0261,-1.4822,246.9634,0.4838,3.6396,0.8912,60.8113,21.0491,2.973,2647.5519,0.7011,-0.0252,96.3604,--,701.8422,1.1277,15.254,56.9867,24304122979.37,--,--,451354209.62,--,--,75.9249
13,--,--,--,--,--,--,--,--,--,--,--,--,2002-9-30,600000,浦发银行,28.2217,2911960640.29,51.2343,43.0037,11.4716,252.0965,2040.1563,3.9779,-3.6164,23.4176,10.79,--,0,--,75.4716,1.8583,1.2653,--,--,--,--,243243124822.35,0.41,0.3514,9890.1099,0.0273,49.4749,26.3982,857417000,0,17.927,0.2364,2.1912,2.19,--,0.2446,0,0.7427,1.1473,7438.0165,0.0363,150.394,3.1457,0,--,--,--,0,0,0,257.3686,0.7584,3.2566,0.0369,51.3138,20.3712,2.08,2970.7246,0.7626,0,96.7434,0,730.0235,1.1473,15.0378,56.9963,25199396253.41,0,0,451354209.62,0,730.0235,73.8887
14,--,--,--,--,--,--,--,--,--,--,--,--,2003-12-31,600000,浦发银行,28.0053,6500268158.55,54.0462,41.0002,47.4566,277.342,2013.3738,21.8453,50.882,26.4079,13.04,--,13.96,--,72.1146,2.986,1.1191,--,--,--,--,371056698060.41,0.4816,0.4221,9729.7297,0.037,32.852,26.3486,1535690000,0.395,25.7812,0.4,3.0679,3.068,0.403,0.1236,1.5745,1.2438,1.1531,7422.6804,0.0485,--,3.1574,2.5491,--,--,--,3.9361,0.0172,0.5125,289.2378,1.2044,3.237,0.0096,81.0173,19.5606,3.065,2989.3271,0.8548,0.0166,96.763,--,767.7979,1.1531,13.0212,58.9998,30590617583.91,--,--,448062972.67,--,--,62.3989
15,--,--,--,--,--,--,--,--,--,--,--,--,2003-3-31,600000,浦发银行,27.4159,1256997360.11,51.6127,43.4787,33.6387,301.0106,1694.9265,18.7696,46.7519,16.6837,2.93,--,--,--,72.3073,0.6272,1.3817,--,--,--,--,279616138586.28,0.1129,0.1129,10344.8276,0.0087,57.8267,22.6198,--,--,6.4334,0.0806,2.7485,2.749,--,0.0902,-2.2415,1.2438,1.1659,7964.6018,0.0113,--,2.9372,-4.8117,--,--,--,-27.8039,-0.0326,-3.6033,278.5255,0.2602,3.8483,1.2869,45.8555,17.1958,2.749,2498.5519,0.642,-0.0314,96.1517,--,622.3598,1.1659,12.9597,56.5213,27686738415.59,--,--,455870173.15,--,--,70.885
16,--,--,--,--,--,--,--,--,--,--,--,--,2003-6-30,600000,浦发银行,26.5621,2795097254.72,51.8496,43.1951,51.8744,302.962,2135.7151,21.3122,45.9189,20.155,5.92,--,6.34,--,71.6143,1.3663,1.1638,--,--,--,--,342665400044.69,0.2112,0.1917,10404.6243,0.0173,63.9259,22.9067,663583000,0.172,13.5707,0.1678,2.8357,2.836,0.17,0.1774,-0.5291,1.2438,1.1225,8071.7489,0.0223,--,2.3507,-0.8736,--,--,--,-3.1535,-0.0062,-0.3842,278.379,0.5656,3.2398,0.191,57.1531,17.3011,2.833,2986.6115,0.653,-0.006,96.7602,--,689.1934,1.1225,12.1844,56.8049,29902301806.02,--,--,448067972.67,--,--,67.8287
17,--,--,--,--,--,--,--,--,--,--,--,--,2003-9-30,600000,浦发银行,26.0845,4492821036.75,52.8546,42.2257,49.5588,291.0268,2086.412,26.6026,45.5166,23.7699,9.39,--,--,--,70.6749,2.1523,1.1059,--,--,--,--,361300387672.94,0.3378,0.2995,10188.6792,0.0265,48.5347,24.8005,--,--,21.8033,0.2764,2.9443,2.944,--,0.286,1.7542,1.2438,1.1371,7780.9798,0.0347,--,2.298,2.8556,--,--,--,6.3468,0.0196,0.8079,288.4921,0.8724,3.1904,0.016,69.9856,18.2558,2.942,3034.4118,0.7584,0.019,96.8096,--,761.8907,1.1371,12.7296,57.7743,31828427240.32,--,--,452626884.4,--,--,65.3492
18,--,--,--,--,--,--,--,--,--,--,--,--,2004-12-31,600000,浦发银行,--,-818053604.32,--,--,-100,-26.3649,0,25.5487,13.5626,29.2206,14.29,--,15.17,--,69.6476,0,1.0168,--,--,--,--,455750833807.44,0.4756,0.4314,--,0,22.8251,65.4582,1894331000,0.48,0.4121,0.5022,3.484,3.45,--,0.1709,5.5573,1.2438,--,--,0,--,--,--,--,--,--,11.0654,0.0492,--,294.3498,0,2.9928,0.0075,101.805,--,3.45,3241.3018,0.8745,0.0477,97.0072,0,3341.3018,--,--,61.3496,38060425028.31,--,0,448060972.67,0,3341.3018,1.285
19,--,--,--,--,--,--,--,--,--,--,--,--,2004-3-31,600000,浦发银行,26.8749,1978994092.38,53.0706,42.0335,53.1135,315.5438,2087.7025,31.6807,11.4812,17.6537,3.46,--,0,--,70.6125,0.9048,1.0436,--,--,--,--,391901245439.89,0.1089,0.1061,9183.6735,0.0098,40.1569,22.7883,0,0,4.2886,0.1062,3.0641,3.064,--,0.1198,2.0812,1.2438,1.1641,6870.229,0.0131,156.3914,3.0447,3.2534,--,--,--,19.6039,0.0214,2.185,293.3112,0.3107,3.0609,1.0722,54.0924,16.8503,3.064,3166.9624,0.5404,0.0208,96.9391,0,836.6012,1.1641,11.1456,57.9665,30530285331.87,0,0,448062972.67,0,836.6012,47.3776
20,390871000,--,--,--,--,--,35666000,--,--,--,--,--,2004-6-30,600000,浦发银行,23.8106,4230296460.11,54.0751,40.997,45.118,328.6312,2038.994,32.978,12.1788,21.7098,7.01,--,7.14,--,69.0757,1.8986,0.9878,--,--,--,--,413889502178.79,0.2225,0.211,9045.2261,0.0199,20.7853,23.5958,--,0.21,7.5865,0.2231,3.181,3.181,0.223,0.2367,2.0958,1.2438,1.2149,6766.9173,0.0266,--,4.3874,3.2312,--,--,--,9.3939,0.0204,1.0488,304.626,0.6395,3.0089,0.0534,69.0596,15.9614,3.18,3223.421,0.6532,0.0198,96.9911,--,846.1672,1.2149,11.1651,59.003,28789622586.69,--,--,448062972.67,--,--,54.1073
21,--,--,--,--,--,--,--,--,--,--,--,--,2004-9-30,600000,浦发银行,24.0249,6583888753.02,54.3112,40.7779,42.6121,319.9076,1999.746,27.8702,12.4666,25.3904,10.67,--,--,--,68.2269,2.9389,0.9669,--,--,--,--,423708928713.82,0.3482,0.3266,8852.459,0.0305,17.2733,24.3527,--,--,12.4775,0.3534,3.3113,3.311,--,0.367,0.6948,1.2438,1.1872,6537.5303,0.0413,--,4.1367,1.0492,--,--,--,1.9659,0.0066,0.2244,316.427,0.9708,3.0596,0.0127,84.0762,16.5947,3.311,3168.3737,0.7768,0.0064,96.9404,--,894.2668,1.1872,11.4138,59.2221,30430620583.74,--,--,448062972.67,--,--,53.0995
22,443288000,--,--,--,--,--,1127105000,--,--,--,--,--,2005-12-31,600000,浦发银行,--,-1051301402.27,--,--,--,-24.2278,0,30.0986,17.0789,30.8854,16.01,--,17.21,--,70.1827,--,0.9744,--,--,--,--,573522671353.33,0.4971,0.446,--,--,25.8413,69.3721,2471430000,0,--,0.6534,4.079,3.97,--,0.1762,1.8091,1.3054,--,--,--,--,--,--,--,--,--,2.7689,0.0127,--,285.7643,--,2.7845,0.0042,125.9828,--,3.96,3491.3711,0.86,0.0123,97.2155,--,3591.3711,--,--,60.4729,--,--,--,445995972.67,--,--,0.6324
23,--,--,--,--,--,--,--,--,--,--,--,--,2005-3-31,600000,浦发银行,23.0381,1543198722.7,30.7696,64.8684,34.4958,198.0196,2010.5399,23.6134,16.9072,18.9598,3.66,--,--,--,68.2275,1.0855,1.0074,--,--,--,--,457264535310.32,0.1125,0.1124,8181.8182,0.011,16.6785,16.8407,--,--,7.7961,0.1312,3.5821,3.58,0.131,0.2728,-5.3452,1.2438,1.1507,2912.6214,0.0309,--,3.3616,-7.4219,--,--,--,-40.7323,-0.0472,-4.1725,304.4421,0.3626,3.0669,0.0182,67.9164,15.5506,3.58,3160.5711,0.5815,-0.0458,96.9331,--,947.0993,1.1507,10.2438,58.1697,32240855801.59,--,--,448060972.67,--,--,44.0623
24,1092523000,--,--,--,--,--,301896000,--,--,--,--,--,2005-6-30,600000,浦发银行,--,-506275653.38,--,--,-100,-25.9274,2136.0809,39.9443,13.5674,24.7331,7.8,--,7.93,--,66.827,--,0.931,--,--,--,--,492451530841.27,0.2578,0.2482,--,--,18.9814,73.9626,--,0.281,0.4126,0.3122,3.6126,3.613,0.282,0.3033,0.9436,1.2438,1.1841,--,--,--,3.02,1.2228,--,--,--,3.0223,0.0077,--,308.5027,--,2.872,0.0103,89.3511,--,3.611,3381.8549,0.7103,0.0075,97.128,--,952.5529,1.1841,--,66.0157,29575446015.16,--,--,448060972.67,--,--,0.9796
25,--,--,--,--,--,--,--,--,--,--,--,--,2005-9-30,600000,浦发银行,--,-769884853.35,--,--,-100,-25.7854,2087.8917,35.5576,14.2571,28.7952,11.96,--,--,--,66.7009,--,0.9215,--,--,--,--,519455502487.53,0.3847,0.3611,--,--,22.5973,68.4136,--,--,0.5311,0.4791,3.7834,3.78,--,0.4741,0.7434,1.2438,1.2337,--,--,--,2.9576,0.9411,--,--,--,1.5518,0.0058,--,309.4554,--,2.8515,0.0062,108.9451,--,3.78,3406.947,0.8211,0.0056,97.1485,--,931.1606,1.2337,--,63.031,29623859016.15,--,--,446722188.68,--,--,0.8429
26,--,--,--,--,--,--,--,--,--,--,--,--,2006-12-31,600000,浦发银行,--,-1360304766.85,--,--,--,-22.533,0,31.1929,54.798,22.0411,13.57,--,19.37,--,71.672,--,0.7681,--,--,--,--,689358435703.73,0.5315,0.4868,--,--,20.1972,68.3381,3308896000,0.837,--,0.7706,5.6765,5.673,--,0.2398,4.3336,2.4269,--,--,--,--,--,--,--,--,--,5.6236,0.0284,--,466.882,--,3.586,0.0036,125.1159,--,5.668,2688.6207,0.7904,0.0274,96.414,--,2788.6207,--,--,31.5971,--,--,--,457580004.64,--,--,1.2426
27,--,--,--,--,--,--,--,--,--,--,--,--,2006-3-31,600000,浦发银行,--,-299723392.96,--,--,-100,-24.548,2320.8476,42.4902,11.8053,20.6988,4.23,--,--,--,68.6203,--,0.9169,--,--,--,--,599443355581.13,0.1248,0.1221,--,--,31.0933,76.2032,--,--,--,0.187,4.005,4.01,--,0.1732,0.4727,1.2438,1.2085,--,--,--,2.7804,0.5085,--,--,--,2.5279,0.0032,--,285.2758,--,2.6157,0.7099,82.8989,--,4.01,3723.0684,0.5414,0.0031,97.3843,--,1018.375,1.2085,--,64.3873,--,--,--,30643776096.72,--,--,0.0504
28,--,--,--,--,--,--,--,--,--,--,--,--,2006-6-30,600000,浦发银行,--,-632770762.61,--,--,--,-23.9878,0,31.1859,20.6667,25.0817,9.37,--,9.63,--,67.4668,--,0.8809,--,--,--,--,630232267002.32,0.2664,0.2544,--,--,27.9785,71.7559,1575865000,0.403,--,0.4096,4.3592,4.359,0.408,0.4547,-2.355,1.3071,--,--,--,--,--,--,--,--,--,-5.7497,-0.015,--,307.4178,--,2.7079,0.0354,109.3367,--,4.353,3592.8399,0.6792,-0.0146,97.2921,--,3692.8399,--,--,30.2898,--,--,--,445248972.67,--,--,1.8883
29,--,--,--,--,--,--,--,--,--,--,--,--,2006-9-30,600000,浦发银行,--,-990900039.19,--,--,--,-24.1313,3355.4958,31.1789,20.7872,29.4436,13.71,--,--,--,66.1553,--,0.8602,--,--,--,--,637934835225.85,0.4062,0.3857,--,--,22.8084,69.4918,--,--,--,0.6285,4.5699,4.57,--,0.6729,-4.1867,1.2996,0,--,--,106.2277,10.8129,-2.7303,--,--,--,-6.6619,-0.0264,--,326.033,--,2.8046,0.0136,134.5548,--,4.57,3465.6293,0.8258,-0.0257,97.1954,0,3565.6293,0,--,30.0659,0,0,0,444557449.01,0,3565.6293,1.5187
30,--,--,--,--,--,--,--,--,--,--,--,--,2007-12-31,600000,浦发银行,--,-1854218798.85,--,--,--,-17.2352,0,63.8531,14.4717,27.9594,19.43,--,20.1,1.26,69.5318,--,0.6019,--,--,--,--,914980346018.21,0.6855,0.601,--,--,32.7293,94.4303,6554845000,1.505,--,1.2627,6.498,6.498,1.26,0.6039,12.7275,2.1358,--,--,--,--,--,--,--,--,--,10.0798,0.0625,--,513.8512,--,3.0927,0.007,181.6789,--,--,3133.3897,0.8647,0.0606,96.9073,--,3233.3897,--,--,41.5928,--,--,--,853855671.65,--,--,0.4619
31,--,--,--,--,--,--,--,--,--,--,--,--,2007-3-31,600000,浦发银行,--,-379936079.93,--,--,--,-22.5553,0,33.6353,63.8243,15.7908,3.81,--,--,0.225,64.5169,--,0.7948,--,--,--,--,704126909245.3,0.1404,0.1389,--,--,17.4635,83.81,--,--,--,0.2246,5.8984,5.898,0.225,0.463,0.6075,2.4263,--,--,--,--,--,--,--,--,--,2.7045,0.0039,--,458.9943,--,3.6481,0.0123,93.1411,--,0,2641.1742,0.5761,0.0038,96.3519,--,2741.1742,--,--,31.9302,--,--,--,726891296.67,--,--,-0.0653
32,--,--,--,--,--,--,--,--,--,--,--,--,2007-6-30,600000,浦发银行,--,-828586123.4,--,--,--,-15.0737,0,59.2603,52.9989,18.7035,9.78,--,9.86,0.586,68.8687,0,0.6695,--,--,--,--,769853897949.77,0.35,0.3317,--,0,22.154,125.1461,3393542000,0.779,--,0.5864,5.9959,5.996,0.586,0.6762,6.2503,2.3099,--,--,--,--,--,--,--,--,--,10.6585,0.0366,--,506.5929,0,3.3917,0.2605,112.144,--,0,2848.3555,0.6344,0.0354,96.6083,0,2948.3555,--,--,47.3689,0,--,0,747036839.29,0,2948.3555,0.4934
33,--,--,--,--,--,--,--,--,--,--,--,--,2007-9-30,600000,浦发银行,--,-1315551719.03,--,--,--,-16.2635,0,59.4486,53.1932,14.3136,14.31,--,0,0.9,--,--,--,--,--,--,--,844415472322.25,0.5116,0.4646,--,0,32.367,108.0322,0,1.09,--,0.9009,6.2937,6.29,0.9,0.9906,12.1582,2.2933,--,--,--,--,--,--,--,--,--,13.4964,0.0648,--,--,0,3.2458,--,90.0852,--,--,2980.8917,0.4646,0.0627,96.7542,--,3080.8917,--,--,44.0879,--,--,--,862022368.06,--,--,0.9162
34,--,--,--,--,--,--,--,--,--,--,--,--,2008-12-31,600000,浦发银行,--,-2612630399.79,--,--,--,-17.0722,0,127.6113,47.3673,36.6409,30.03,--,36.71,2.211,69.3695,0,0.4781,--,--,--,0,1309425441961.6,1.1253,0.9558,--,0,43.1097,100.0786,12136004000,2.144,--,2.2108,7.3661,7.362,2.211,2.1004,18.6358,1.9189,--,--,--,--,--,--,--,--,--,8.4296,0.0832,--,666.1792,0,3.1847,0.001,269.8986,--,--,3039.9735,1.1669,0.0806,96.8153,0,3139.9735,--,--,44.3627,110600016531.13,--,0,928005575.97,0,3139.9735,0.8572
35,--,--,--,--,--,--,--,--,--,--,--,--,2008-3-31,600000,浦发银行,--,-586068568.65,--,--,--,-15.8798,0,187.4032,22.3147,17.0674,8.95,--,--,0.5,67.9357,0,0.5689,--,--,--,--,950032058031,0.3015,0.296,--,0,34.9234,112.0262,--,0.65,--,0.6456,7.2147,7.21,0.65,1.0896,-1.0872,2.3668,--,--,--,--,--,--,--,--,--,-1.6839,-0.0052,--,581.3551,0,3.3072,0.2527,123.1357,--,--,2923.7466,0.5644,-0.005,96.6928,0,3023.7466,--,--,45.9812,85989714228.05,--,0,870200243.75,0,3023.7466,0.3954
